address,category_name,city,local_guid,likes_count,name,permanently_closed,publish_at,published_at_date,reviewer_number_of_reviews,reviews_count,reviews_distb_fivestar,reviews_distb_fourstar,reviews_distb_onestar,reviews_distb_threestar,reviews_distb_twostar,stars,temporarily_closed,text,title,total_score
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Kaunain Tai,FALSE,3 years ago,2019-03-16T21:38:05.816Z,11,433,210,114,25,62,22,2,FALSE,It was pretty nice but the quality of the food was ok for me as compared to others,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,FRAGRANCE OF ISLAM,FALSE,3 years ago,2019-03-16T11:39:05.866Z,0,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Aslam Pirzada,FALSE,3 years ago,2019-03-07T11:41:01.852Z,42,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,1,Dr Foodie Official,FALSE,3 years ago,2019-03-07T08:55:45.734Z,660,433,210,114,25,62,22,2,FALSE,"As i am their regular customer. So it's really disappointing to see the drop in quality of food and overall environment.
The sofa seating is in need of refurbishment and is so low that the table was at chest level.
There was a disgusting stench, the cutlery was crooked and bent and the live music was absolutely dreadful and way too loud. The buffet area was crowded because people were standing there eating like they were at some valima.
The costumed character guy who is supposed to entertain kids was acting really creepy and was super annoying.
Food quality was not up to the mark.

Suggestion: Plz focus on your core functions",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Junaid Siddiqui,FALSE,3 years ago,2019-02-19T17:22:25.294Z,0,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Sufiyan Shamsi,FALSE,3 years ago,2019-02-10T12:07:56.367Z,3,433,210,114,25,62,22,1,FALSE,Whack as food,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Wajiha Ali,FALSE,3 years ago,2018-12-02T14:15:27.155Z,1,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Sajid Syed Rizvi,FALSE,3 years ago,2018-07-27T01:17:07.733Z,0,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,double Aa,FALSE,3 years ago,2018-07-26T14:21:39.843Z,42,433,210,114,25,62,22,2,FALSE,taste is not good,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Sam Azar,FALSE,4 years ago,2018-05-27T19:23:44.094Z,1,433,210,114,25,62,22,1,FALSE,Very poor quality of food I recieved  with high price all cold beverages was not cold even water and hot  was not hot including tea very very disappointed,Al Bustan Restaurant,4.1
